,corrected_question,sparql_query,answer,entity,wiki_answer
3254,Name hte builder of Baku Olympic Stadium ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Baku_Olympic_Stadium_(BOS)> <http://dbpedia.org/ontology/builder> ?uri } ,[],Baku Olympic Stadium,External links
3280,Where is the stadium of west Papus football team ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/West_Papua_football_team> <http://dbpedia.org/ontology/stadium> ?uri } ,[],football,"Football
Football field"
3286,Name the artist of Brad Paisley discography ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Brad_Paisley_discography> <http://dbpedia.org/property/artist> ?uri } ,"['http://dbpedia.org/resource/Brad_Paisley', 'Brad Paisley']",Brad Paisley,The Drama Kings
3289,list all the chairman of Vancouver Whitecaps FC?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Vancouver_Whitecaps_FC> <http://dbpedia.org/property/chairman> ?uri } ,['http://dbpedia.org/resource/Jeff_Mallett'],Vancouver Whitecaps FC,All-time Vancouver Whitecaps FC roster
3293,Name the nearest city to Tennie and Laura ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Tennie_and_Laura_(schooner)> <http://dbpedia.org/property/nearestCity> ?uri } ,"['http://dbpedia.org/resource/Port_Washington,_Wisconsin', 'http://dbpedia.org/resource/Wisconsin']",Laura,Marthe Cnockaert
3296,What is the area of ITV (Thailand) ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/ITV_(Thailand)> <http://dbpedia.org/property/area> ?uri } ,['http://dbpedia.org/resource/Thailand'],SpacyError,"Sorry, answer not found!"
3306,Who are the key people of FWD.us?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/FWD.us> <http://dbpedia.org/property/keyPeople> ?uri } ,"['http://dbpedia.org/resource/Joe_Green_(entrepreneur)', 'http://dbpedia.org/resource/Mark_Zuckerberg', '', 'Todd Schulte']",FWD.us,major contributors
3307,Who is the executive producer of Into the Dalek ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Into_the_Dalek> <http://dbpedia.org/property/executiveProducer> ?uri } ,"['http://dbpedia.org/resource/Doctor_Who', 'Steven Moffat']",Dalek,Walter Tuckwell
3327,Name the writer of South Park: The Stick of Truth ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/South_Park:_The_Stick_of_Truth> <http://dbpedia.org/ontology/writer> ?uri } ,"['http://dbpedia.org/resource/Trey_Parker', 'http://dbpedia.org/resource/Matt_Stone']",South Park,Pam Brady
3328,Who owns Torrey Pines Gliderport?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Torrey_Pines_Gliderport> <http://dbpedia.org/property/owner> ?uri } ,['http://dbpedia.org/resource/San_Diego'],Torrey Pines Gliderport,San Diego
3329,Who wrote a streetcar named desire?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/A_Streetcar_Named_Desire_(play)> <http://dbpedia.org/property/writer> ?uri } ,[],streetcar,Thomas Taylor
3334,List the goverener of Winston Bryant?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Winston_Bryant> <http://dbpedia.org/property/governor> ?uri } ,"['http://dbpedia.org/resource/Jim_Guy_Tucker', 'http://dbpedia.org/resource/Bill_Clinton', 'http://dbpedia.org/resource/Mike_Huckabee', 'http://dbpedia.org/resource/Frank_D._White', 'http://dbpedia.org/resource/David_Pryor', 'Bill Clinton']",Winston Bryant,He is married to the former Susan Hughes
3339,Who is the appointer of Earl B. Ruth ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Earl_B._Ruth> <http://dbpedia.org/property/appointer> ?uri } ,['http://dbpedia.org/resource/Gerald_Ford'],Earl B. Ruth,Congress
3342,To which educational institutes is Samuel Isham associated to?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Samuel_Isham> <http://dbpedia.org/property/education> ?uri } ,['http://dbpedia.org/resource/Phillips_Academy'],Samuel Isham,Phillips Academy
3345,Name the champion of National League ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/National_League> <http://dbpedia.org/property/champion> ?uri } ,['http://dbpedia.org/resource/Los_Angeles_Dodgers'],National League,"Lee Allen, Putnam, 1961"
3353,List the military branch of  Henry Hyde ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Henry_Hyde> <http://dbpedia.org/ontology/militaryBranch> ?uri } ,[],Henry Hyde,U.S. Naval Intelligence Reserve Unit
3361,Who was the designer of john madden Football '92 ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/John_Madden_Football_'92> <http://dbpedia.org/property/designer> ?uri } ,['http://dbpedia.org/resource/John_Madden'],john madden Football '92,"Sorry, answer not found!"
3370,Where was Juno I launched from ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Juno_I> <http://dbpedia.org/ontology/launchSite> ?uri } ,"['http://dbpedia.org/resource/Florida', 'http://dbpedia.org/resource/Cape_Canaveral_Air_Force_Station', 'http://dbpedia.org/resource/Cape_Canaveral_Air_Force_Station_Launch_Complex_26', 'http://dbpedia.org/resource/Cape_Canaveral_Air_Force_Station_Launch_Complex_5']",Juno I,Smithsonian Institution
3372,"Who won the ohio house of representatives, 2010?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/United_States_House_of_Representatives_elections_in_Ohio,_2010> <http://dbpedia.org/property/incumbent> ?uri } ",[],ohio,Governor Strickland
3374,What is the draft team of Gene Conley ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Gene_Conley> <http://dbpedia.org/property/draftTeam> ?uri } ,['http://dbpedia.org/resource/Boston_Celtics'],Gene Conley,90th pick of the NBA draft
3377,Where did Rheinmetall MG 60 originated ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Rheinmetall_MG_60> <http://dbpedia.org/ontology/origin> ?uri } ,['http://dbpedia.org/resource/West_Germany'],Rheinmetall,Germany
3380,What type of government is elected in Kumta?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Kumta> <http://dbpedia.org/ontology/governmentType> ?uri } ,[],Kumta,Hegde (village)
3386,What is the governing body of Fort Monroe ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Fort_Monroe> <http://dbpedia.org/property/governingBody> ?uri } ,[],Fort Monroe,the Köppen Climate Classification system
3398,List all the children of Barbara Bush?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Barbara_Bush> <http://dbpedia.org/property/children> ?uri } ,"['http://dbpedia.org/resource/George_W._Bush', 'http://dbpedia.org/resource/Jeb_Bush', 'http://dbpedia.org/resource/Dorothy_Bush_Koch', 'http://dbpedia.org/resource/Pauline_Robinson_Bush', 'http://dbpedia.org/resource/Neil_Bush', 'http://dbpedia.org/resource/Marvin_Bush', '']",Barbara Bush,"Williams, Marjorie"
3402,Who wrote the frost king?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Frost_King> <http://dbpedia.org/ontology/author> ?uri } ,['http://dbpedia.org/resource/Helen_Keller'],frost king,"Sorry, answer not found!"
3411,What is the administrative headquarters of Pulau Ujong ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Pulau_Ujong> <http://dbpedia.org/ontology/capital> ?uri } ,[],Pulau Ujong,Pu Luo Jong
3418,Where does the Kentucky cycle take place?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Kentucky_Cycle> <http://dbpedia.org/property/place> ?uri } ,"['http://dbpedia.org/resource/Intiman_Theatre_Festival', 'http://dbpedia.org/resource/Seattle']",Kentucky,Outline of Kentucky
3437,What is the content license of Darcs ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Darcs> <http://dbpedia.org/ontology/license> ?uri } ,['http://dbpedia.org/resource/GNU'],NotFound,"Sorry, answer not found!"
3491,On which subjects does the author of the novel Thud! delve?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Thud!> <http://dbpedia.org/ontology/nonFictionSubject> ?uri } ,"['http://dbpedia.org/resource/Racism', 'http://dbpedia.org/resource/Chess', 'http://dbpedia.org/resource/Dwarfs_(Discworld)', 'http://dbpedia.org/resource/Samuel_Vimes', 'http://dbpedia.org/resource/Ankh-Morpork_City_Watch', 'http://dbpedia.org/resource/Troll', 'http://dbpedia.org/resource/Fantasy', 'http://dbpedia.org/resource/Ankh-Morpork', 'http://dbpedia.org/resource/Minor_Discworld_concepts']",Thud!,Discworld novels
3502,Moscow-Kazan high speed railway starts from which station?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Moscow-Kazan_high-speed_railway> <http://dbpedia.org/ontology/routeStart> ?uri } ,['http://dbpedia.org/resource/Moscow_Yaroslavskaya_railway_station'],Moscow,Moscow
3506,Which countries came together to serve a greater purpose and founded South Asia Subregional Economic Cooperation?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/South_Asia_Subregional_Economic_Cooperation> <http://dbpedia.org/property/membership> ?uri } ,"['http://dbpedia.org/resource/Maldives', 'http://dbpedia.org/resource/Bangladesh', 'http://dbpedia.org/resource/Bhutan', 'http://dbpedia.org/resource/Sri_Lanka', 'http://dbpedia.org/resource/India', 'http://dbpedia.org/resource/Nepal', 'http://dbpedia.org/resource/Myanmar']",South Asia Subregional Economic Cooperation,"Bangladesh, Bhutan, India, and Nepal"
3509,"Who is the founder of Wuropean School, Karlsruhe ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/European_School,_Karlsruhe> <http://dbpedia.org/property/founder> ?uri } ",[],Karlsruhe,Leo Kahn
3514,List the teams for which Bobby Hoppe played ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Bobby_Hoppe> <http://dbpedia.org/property/pastteams> ?uri } ,['* San Francisco 49ers \n* Washington Redskins'],Bobby Hoppe,Sherry L. Hoppe and Dennie B. Burke
3516,Who first ascented a mountain of Cathedral Peak (California) ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Cathedral_Peak_(California)> <http://dbpedia.org/ontology/firstAscentPerson> ?uri } ,['http://dbpedia.org/resource/John_Muir'],California,Garci Rodríguez de Montalvo
3518,Name the sharehoders of The National Herald ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_National_Herald_(India)> <http://dbpedia.org/ontology/owner> ?uri } ,[],The National Herald,"Sorry, answer not found!"
3525,Where was James McClure born ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/James_McClure_(table_tennis)> <http://dbpedia.org/property/birthPlace> ?uri } ,"['Indianapolis, Indiana, United States']",James McClure,1951
3526,Who is the operator of AT&T Park ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/AT&T_Park> <http://dbpedia.org/property/operator> ?uri } ,[],AT&T Park,Pat Gallagher
3532,Name the branch of Carroll E. Lanier ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Carroll_E._Lanier> <http://dbpedia.org/property/branch> ?uri } ,[],Carroll,"Carroll
Carol"
3535,What is the colour of Red Marauder ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Red_Marauder> <http://dbpedia.org/ontology/colour> ?uri } ,['http://dbpedia.org/resource/United_Kingdom'],Red Marauder,"Sorry, answer not found!"
3536,What is the draft team of Dale Mitchell (ice hockey) ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Dale_Mitchell_(ice_hockey)> <http://dbpedia.org/ontology/draftTeam> ?uri } ,[],ice hockey,"male, female and junior"
3539,By whom is the broadcaster network Bounce TV founded?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Bounce_TV> <http://dbpedia.org/ontology/foundedBy> ?uri } ,"['http://dbpedia.org/resource/Andrew_Young', 'http://dbpedia.org/resource/Martin_Luther_King_III']",Bounce TV,Katz Broadcasting
3544,List down all notable works of Neil Cross ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Neil_Cross> <http://dbpedia.org/ontology/notableWork> ?uri } ,"['http://dbpedia.org/resource/Luther_(TV_series)', 'http://dbpedia.org/resource/Doctor_Who', 'http://dbpedia.org/resource/Spooks_(TV_series)', 'http://dbpedia.org/resource/Hard_Sun']",Neil Cross,"uncredited script doctor, 2013"
3546,what awards have been giving to Muhammad Yunus?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Muhammad_Yunus> <http://dbpedia.org/ontology/award> ?uri } ,"['http://dbpedia.org/resource/Nobel_Peace_Prize', 'http://dbpedia.org/resource/Independence_Day_Award', 'http://dbpedia.org/resource/Presidential_Medal_of_Freedom', 'http://dbpedia.org/resource/Ramon_Magsaysay_Award', 'http://dbpedia.org/resource/Gandhi_Peace_Prize', 'http://dbpedia.org/resource/Aga_Khan_Award_for_Architecture', 'http://dbpedia.org/resource/Congressional_Gold_Medal', 'http://dbpedia.org/resource/Volvo_Environment_Prize', 'http://dbpedia.org/resource/World_Food_Prize', 'http://dbpedia.org/resource/Pfeffer_Peace_Prize']",Muhammad Yunus,Social Business - Global Initiatives
3550,What are the things Eric Schiller known for ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Eric_Schiller> <http://dbpedia.org/ontology/knownFor> ?uri } ,"['http://dbpedia.org/resource/Chess', 'http://dbpedia.org/resource/Linguistics']",Eric Schiller,World Champion Openings
3551,List the parts of Greater San Antonio?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Greater_San_Antonio> <http://dbpedia.org/ontology/part> ?uri } ,[],Greater San Antonio,several counties and regions
3553,Where is Temenos Group founded ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Temenos_Group> <http://dbpedia.org/property/foundation> ?uri } ,[],Temenos Group,"Geneva, Switzerland"
3563,Name the cover artist of the adventure of Tom sawyer ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Adventures_of_Tom_Sawyer> <http://dbpedia.org/ontology/coverArtist> ?uri } ,[],Tom sawyer,Tom Sawyer
3564,Who did Bruce Bochy play for ? , SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Bruce_Bochy> <http://dbpedia.org/ontology/team> ?uri } ,[],Bruce Bochy,Houston Astros
3567,Which political party got elected in First Legislative Assembly of Uttar Pradesh ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Martin_Crane> <http://dbpedia.org/property/children> ?uri } ,"['http://dbpedia.org/resource/Frasier_Crane', 'http://dbpedia.org/resource/Niles_Crane', '']",Uttar Pradesh,Samajwadi Party
3571,List the actors of  Lucy Sullivan Is Getting Married?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Lucy_Sullivan_Is_Getting_Married> <http://dbpedia.org/property/starring> ?uri } ,"['http://dbpedia.org/resource/Gerard_Butler', 'http://dbpedia.org/resource/Letitia_Dean', 'http://dbpedia.org/resource/Zoë_Eeles', 'http://dbpedia.org/resource/Michael_Troughton', 'http://dbpedia.org/resource/Sam_Loggin', 'http://dbpedia.org/resource/Gwyneth_Strong', 'http://dbpedia.org/resource/Sara_Stockbridge', 'http://dbpedia.org/resource/Debbie_Chazen']",Lucy Sullivan Is Getting Married,three colleagues
3576,In which wars did Percy Fitzwallace fight?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Percy_Fitzwallace> <http://dbpedia.org/property/battles> ?uri } ,[],Percy Fitzwallace,India and Pakistan
3578,Who was the vice president under which elizabeth alexander served?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Elizabeth_Alexander_(press_secretary)> <http://dbpedia.org/ontology/vicePresident> ?uri  . },['http://dbpedia.org/resource/Joe_Biden'],elizabeth alexander,"Sorry, answer not found!"
3586,Who produced wizards vs aliens?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Wizards_vs_Aliens> <http://dbpedia.org/ontology/producer> ?uri } ,['http://dbpedia.org/resource/Brian_Minchin'],NotFound,"Sorry, answer not found!"
3587,Who is the distributer of Rev ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Rev_(drink)> <http://dbpedia.org/property/distributor> ?uri } ,['http://dbpedia.org/resource/Bacardi'],Rev,Rav
3599,Where is Lao Plaza Hotel located?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Lao_Plaza_Hotel> <http://dbpedia.org/property/developer> ?uri } ,['http://dbpedia.org/resource/Thailand'],Plaza Hotel,Central Park South
3605,What is the profession of William Luther Hill ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/William_Luther_Hill> <http://dbpedia.org/ontology/profession> ?uri } ,['http://dbpedia.org/resource/United_States_Senate'],William Luther Hill,law
3610,Who is the President of United World College of Costa Rica ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/United_World_College_of_Costa_Rica> <http://dbpedia.org/property/president> ?uri } ,"['http://dbpedia.org/resource/Queen_Noor_of_Jordan', 'http://dbpedia.org/resource/Nelson_Mandela']",Costa Rica,Camino de Costa Rica
3611,Which city has it's landmark as Cheasty Boulevard South?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Cheasty_Boulevard_South> <http://dbpedia.org/ontology/maintainedBy> ?uri } ,['http://dbpedia.org/resource/Seattle'],Cheasty Boulevard South,"Sorry, answer not found!"
3612,List down the opponents of Frank Stilwell?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Frank_Stilwell> <http://dbpedia.org/ontology/opponent> ?uri } ,"['http://dbpedia.org/resource/Doc_Holliday', 'http://dbpedia.org/resource/Virgil_Earp', 'http://dbpedia.org/resource/Morgan_Earp', 'http://dbpedia.org/resource/Wyatt_Earp']",Frank Stilwell,Brunckow's Cabin
3614,Where is Bogobiri House located ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Bogobiri_House> <http://dbpedia.org/property/locationCity> ?uri } ,['http://dbpedia.org/resource/Lagos'],Bogobiri House,Bogobiri house
3616,Who is the writer of Neverwhere (radio play) ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Neverwhere_(radio_play)> <http://dbpedia.org/ontology/writer> ?uri } ,"['http://dbpedia.org/resource/Dirk_Maggs', 'http://dbpedia.org/resource/Neil_Gaiman']",radio,Timeline of radio
3642,To which series does the character of Londo Mollari belong?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Londo_Mollari> <http://dbpedia.org/ontology/series> ?uri } ,['http://dbpedia.org/resource/Babylon_5'],Londo Mollari,literary
3646,What is the type of Naval Station Bremerton ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Naval_Station_Bremerton> <http://dbpedia.org/property/type> ?uri } ,"['http://dbpedia.org/resource/United_States_Navy', 'http://dbpedia.org/resource/Naval_base']",Naval Station Bremerton,"Sorry, answer not found!"
3661,What is the religious affiliation of Wickramabahu Central College (National School) ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Wickramabahu_Central_College_(National_School)> <http://dbpedia.org/property/religiousAffiliation> ?uri } ,[],Wickramabahu Central College (National School),Buddhist
3662,Name the nearest city to  Lake Victoria?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Lake_Victoria> <http://dbpedia.org/ontology/nearestCity> ?uri } ,"['http://dbpedia.org/resource/Uganda', 'http://dbpedia.org/resource/Kenya', 'http://dbpedia.org/resource/Kisumu', 'http://dbpedia.org/resource/Kendu_Bay', 'http://dbpedia.org/resource/Jinja,_Uganda', 'http://dbpedia.org/resource/Kampala', 'http://dbpedia.org/resource/Homa_Bay', 'http://dbpedia.org/resource/Bukoba', 'http://dbpedia.org/resource/Tanzania', 'http://dbpedia.org/resource/Entebbe', 'http://dbpedia.org/resource/Musoma', 'http://dbpedia.org/resource/Mwanza']",Lake Victoria,Kenya
3663,Where is the tombstone of Johannes Gerhardus Strijdom?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Johannes_Gerhardus_Strijdom> <http://dbpedia.org/property/restingplace> ?uri } ,[],Johannes Gerhardus Strijdom,South Africa
3670,What party was in majority of Fourth Legislative Assembly of Delhi?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Fourth_Legislative_Assembly_of_Delhi> <http://dbpedia.org/property/party> ?uri } ,['http://dbpedia.org/resource/Indian_National_Congress'],Delhi,"Sister cities
Partnerships"
3684,For which team does hunter pence play for?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Hunter_Pence> <http://dbpedia.org/ontology/team> ?uri } ,[],hunter pence,"Sorry, answer not found!"
3685,Name the ground of Al-Rayan SC ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Al-Rayan_SC> <http://dbpedia.org/ontology/ground> ?uri } ,[],SC,London England
3692,Where was Thomy Bourdelle born?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Thomy_Bourdelle> <http://dbpedia.org/property/placeOfBirth> ?uri  . },[],Thomy Bourdelle,Edinburgh
3696,WHo gave the lyrcis of Doonesbury ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Doonesbury_(musical)> <http://dbpedia.org/ontology/lyrics> ?uri } ,['http://dbpedia.org/resource/Garry_Trudeau'],Doonesbury,Microsoft Windows
3698,Who coached the marquet golden eagels during 2013, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/2013–14_Marquette_Golden_Eagles_men's_basketball_team> <http://dbpedia.org/ontology/coach> ?uri } ,[],2013,Prince George of Cambridge
3706,Name the city served by Juhu Aerodrome ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Juhu_Aerodrome> <http://dbpedia.org/property/cityServed> ?uri } ,['http://dbpedia.org/resource/Mumbai'],Juhu Aerodrome,Airports Authority of India
3715,Name the products of Den norske Bank ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Den_norske_Bank> <http://dbpedia.org/property/products> ?uri } ,"['http://dbpedia.org/resource/Postbanken', 'http://dbpedia.org/resource/American_Express', 'http://dbpedia.org/resource/DNB_ASA']",Den norske Bank,"Sorry, answer not found!"
3724,Who is the founder of Pittsburgh ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Pittsburgh> <http://dbpedia.org/ontology/founder> ?uri } ,"['http://dbpedia.org/resource/George_Washington', 'http://dbpedia.org/resource/General_John_Forbes']",Pittsburgh,George Westinghouse
3731,Which universities are alma mater to Charles Plosser?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Charles_Plosser> <http://dbpedia.org/property/almaMater> ?uri } ,[],Charles Plosser,University of Chicago
3732,What is the constituency of Santo Versace?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Santo_Versace> <http://dbpedia.org/property/constituency> ?uri } ,[],Santo Versace,Versace
3742,Which companies published Super Mario Adventures?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Super_Mario_Adventures> <http://dbpedia.org/property/publisher> ?uri } ,"['http://dbpedia.org/resource/Nintendo', 'http://dbpedia.org/resource/Shogakukan']",Super Mario Adventures,Mario media
3772,What is the style of architecture of South Loop Printing House District ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/South_Loop_Printing_House_District> <http://dbpedia.org/ontology/architecturalStyle> ?uri } ,['http://dbpedia.org/resource/Chicago'],South Loop Printing House District,Printing House Row District — also in Central Chicago
3774,Name the ssignificant buildings of Ivan Fomin ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ivan_Fomin> <http://dbpedia.org/ontology/significantBuilding> ?uri } ,"['http://dbpedia.org/resource/Kiev', 'http://dbpedia.org/resource/Krasnye_Vorota_(Moscow_Metro)', 'http://dbpedia.org/resource/Moscow', 'http://dbpedia.org/resource/Moscow_Metro', 'http://dbpedia.org/resource/Budynok_Uryadu']",Ivan Fomin,Pre-revolutionary interiors
3789,List the writers of Tales of Suspense ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Tales_of_Suspense> <http://dbpedia.org/property/writers> ?uri } ,"['http://dbpedia.org/resource/Larry_Lieber', 'http://dbpedia.org/resource/Robert_Bernstein_(comics)', 'http://dbpedia.org/resource/Stan_Lee', '']",Suspense,Lawrence Erlbaum Associates
3796,What is the label of Double Diamond (album) ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Double_Diamond_(album)> <http://dbpedia.org/ontology/recordLabel> ?uri } ,[],Double Diamond,"Sorry, answer not found!"
3810,To which branch Edwin F. Hunter  belong ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Edwin_F._Hunter> <http://dbpedia.org/property/branch> ?uri } ,[],Hunter,Solunar
3813,Who are the children of Abigail Adams?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Abigail_Adams> <http://dbpedia.org/property/children> ?uri } ,"['Abigail, John Quincy, Susanna, Charles, Thomas, and Elizabeth']",Abigail Adams,William Smith (1707–1783) and Elizabeth (née Quincy) Smith
3814,Which things are Breann McGregor known for ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Breann_McGregor> <http://dbpedia.org/property/knownFor> ?uri } ,[],Breann McGregor,"Sorry, answer not found!"
3835,Which bands are associated to David Paton?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/David_Paton> <http://dbpedia.org/ontology/associatedBand> ?uri } ,"['http://dbpedia.org/resource/Camel_(band)', 'http://dbpedia.org/resource/Kate_Bush', 'http://dbpedia.org/resource/Elton_John', 'http://dbpedia.org/resource/Pilot_(band)', 'http://dbpedia.org/resource/The_Alan_Parsons_Project']",David Paton,"African Bach, Softsword, The Classical Connection 2 and Prayers"
3837,What is the Team Name  of St. Viator High School ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/St._Viator_High_School> <http://dbpedia.org/property/teamName> ?uri } ,['http://dbpedia.org/resource/Lion'],Viator,"Sorry, answer not found!"
3839,Who is the headcoach of 2013-14 Marquette Golden Eagles men's basketball team ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/2013–14_Marquette_Golden_Eagles_men's_basketball_team> <http://dbpedia.org/property/headcoach> ?uri } ,[],basketball,General Managers
3841,Who is the musician of Before I let you Go ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Before_I_Let_You_Go> <http://dbpedia.org/ontology/musicalArtist> ?uri } ,[],Go,The Suns Gorilla
3851,Who is the coach of England national under-21 football team ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/England_national_under-21_football_team> <http://dbpedia.org/property/coach> ?uri } ,['http://dbpedia.org/resource/Aidy_Boothroyd'],football,Major League Rugby
3857,where is the thorington train station located?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Thorington_railway_station> <http://dbpedia.org/ontology/district> ?uri } ,"['http://dbpedia.org/resource/Tendring_District', 'http://dbpedia.org/resource/Essex']",train station,"Coleford, I. C."
3861,With whom were the engagements of Alpine Brigade Taurinense?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Alpine_Brigade_Taurinense> <http://dbpedia.org/ontology/battle> ?uri } ,[],Taurinense,"Sorry, answer not found!"
3865,Who gave the voice for Allen Walker ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Allen_Walker> <http://dbpedia.org/ontology/voice> ?uri } ,"['http://dbpedia.org/resource/Todd_Haberkorn', 'http://dbpedia.org/resource/Ayumu_Murase', 'http://dbpedia.org/resource/Sanae_Kobayashi']",Allen Walker,Katsura Hoshino
